N,OriginalReviews,PreprocessedReviews,Restaurant,ID,total_length,weight,total_percentage,label,RestaurantType
584,    مكان ميز مختلف  وجبات وقهوة وايس كريم المطعموجود مكان مختلف وميز يعطي انطباع اوروبيحيث يوجد بالخلف مجمع التركي بكورنيش الخبر  ويوجد جلسات داخلية وجلسات خارجية ميزة النافورةالاكل لديهم مذاقه خصوصا الفوتوتشيني الفريدووالبرجريعجبني المطعم      ,    مك ميز خلف  وجب قهو ويس كرم المطعموجود كان خلف ومز يعط طبع اوروبيحيث وجد خلف جمع ترك كورنيش خبر  ويوجد جلس دخل جلس خرج يزة نافورةالاكل لدي ذقه خصص وتش فريدووالبرجريعجب مطعم      ,Gad-جاد,102,33,5,0.151515151515152,Positive,هندي
585,    قائمة متميزة بالمأكولات الشهية هو المطاعم أفضل زيارتها وقت لآخر لتميزه بتعد أصنافه بجميع أنواع المأكولات الشهية والسلطات الذيذة      ,    قم تمز أكل شهة هو طعم فضل زير وقت آخر تمز تعد صنف جمع واع أكل شهة سلط ذيذة      ,Gad-جاد,102,19,9,0.473684210526316,Positive,هندي
586,    ابل بيتز جو جميل ديكور رائع ترحيب متاز طعم وﻻ اروع طعم متاز وشهي وخاصة المقبﻻتالاستيك طعم ميزوجبات اﻻطفال مفرحهوﻻ تنسى الحلويات      ,    بل يتز جو جمل ديكور رئع رحب تاز طعم وﻻ ارع طعم تاز وشه وخص مقبﻻتالاستيك طعم ميزوجب ﻻطفال مفرحهوﻻ نسى حلويات      ,Gad-جاد,102,22,15,0.681818181818182,Positive,هندي
587,    فكره جميله بسيطه لمطعم برجر طعم متاز اسعار معقولة الموقع جيد مريح لغايه  الخدمه نظافه المحل مهمه بغير العادة لمطاعم النوع      ,    فكر جمل بسط طعم رجر طعم تاز سعر عقل وقع جيد ريح لغي  خدم نظف محل همه بغر عدة طعم ع      ,Gad-جاد,102,21,21,1,Positive,هندي
588,    عادي لايوجد شيء ميزفي المطعم  متوسط المستوى ونظيف  يحتوي مكان لعائلات  يمكنك زيارته كنوع التغير والتجربة      ,    عد لايوجد شيء يزف طعم  توسط ستى نظف  حوي كان لعل  يمك زير كنع تغر جربة      ,Gad-جاد,102,16,4,0.25,Positive,هندي
589,    البرجر جيد يستحق التجربة الأكل لذيذ  اعتقد يوجد قسم لعائلات  الأسعار  المشروب والبطاطس  افضل مطاعم الوجبات السريعة  الطلب يطبخ  الطلبات تأخذ وقت تجهز يفضل تصل ليجهز طلبك  الابتسامه التعامل داخل المكان جيده  انصح محبي البرجر بتجربتهم لمطعم      ,    البرجر جيد سحق جرب الأكل لذذ  عقد وجد قسم لعل  سعر  شرب ططس  فضل طعم وجب سرع  طلب طبخ  طلب أخذ وقت جهز فضل تصل جهز طلب  بسم عمل دخل كان جيد  نصح حبي رجر جرب مطعم      ,Gad-جاد,102,37,18,0.486486486486487,Positive,هندي
590,    لم يعد لاسف تغير المطعم طثيرا اورينت بالسابق محل اجمل انظف طعم الطعام جيد الاسعار عاليه يستاهل الزيارة  الوصل المواقف متعبه لغايه      ,    لم يعد لاسف تغر طعم طثر اور سبق محل جمل نظف طعم طعم جيد سعر علي تهل زير  وصل وقف تعب لغايه      ,Gad-جاد,102,22,15,0.681818181818182,Positive,هندي
591,    مطعم مكان رائع يمكنكم الاستمتاع بالأطباق الايطاليه الشهيه والجو الرومانسي الرائعالمطعم يقع طابقين مكان مناسب لهدوء وقائمة الطعام ايطاليه وبحرية وجربت عندهم شوربة الفطر لذيذة وكذلك بيتزا خضروات رائعة ومكرونة باستا بالدجاج لذيذة والسلطات روعة وأسعار الطعام مرتفعة ديكور المحل الرائع      ,    مطعم كان رئع م ماع طبق يطل شهه لجو رومانس رائعالمطعم يقع طبق كان نسب هدء وقم طعم يطل بحر جرب عند شورب فطر لذذ كذل يتز خضرو رئع كرو بست دجج لذذ سلط روع أسعار طعم رفع ديكور محل رائع      ,Gad-جاد,102,41,20,0.48780487804878,Positive,هندي
592,    لا يعتبر مطعم ايطالي الاطلاق لاسف المطعم يستحق الزيارة مره اخر  يمت بصله لطعم الاكل الايطالي بحسب خبرتي تجربتي لكثير المطاعم  صحيح اسعاره رخيصه نوعا الديكور غريب الخدمه الاكل عبارة خدعه      ,    لا عبر طعم يطل طلق لاسف طعم سحق زير مره اخر  يمت بصل طعم اكل يطل حسب خبر جرب كثر طعم  صحح سعر رخص نوع ديكور غرب خدم اكل عبر خدعه      ,Gad-جاد,102,31,-1,-0.032258064516129,Negative,هندي
593,    بالنسبه لأكل مخزن وحصل لعائلتي تسم بالنسبه لأكل مخزن وحصل لعائلتي تسم جداً سيئ طلبنا ربيان وفتوشيني وكلها سيئه                  ,    بالنسبه أكل خزن حصل لعل تسم بالنسبه أكل خزن حصل لعل تسم جدا سيئ طلب ربي فتش وكل ئه                  ,Gad-جاد,102,19,-5,-0.263157894736842,Negative,هندي
594,    لا يمت لكل الايطالي باي شكل الاشكال الطعم اقل العادي السعر غالي  الوصول لمحل متعب الخدمه نظافه المحل جيده الاطلاق  المواقف متعبه      ,    لا يمت لكل يطل باي شكل شكل الطعم اقل عدي سعر غلي  وصل محل تعب خدم نظف محل جيد طلق  وقف متعبه      ,Gad-جاد,102,22,5,0.227272727272727,Positive,هندي
595,    مطعم ايطالي بمعنى الكلمه بكل صراحه مطعم منجيامو  الافضل بمدينة الخبر بالمطاعم الايطاليه  انما ينافس المطاعم الاخرى النظافه جودة الاكل اسعاره متازة يقدمه انواع الحوم باقي مقادير الطعام  ربما البعض يرا مرتفع السعر نسبيا انهم استفسرو نوعيه الحوم المقادير تستخدم لتحضير الوجبات لعرفوا المبلغ المدفوع ليسى بالمرتفع الوجبات  نظافه المحل متازة الموظفين غاية الاحترام  الديكور يعكس الديكور الايطالي الحقيقي المتناسق درجة الرقي المطعم  مواقف السيارات متازة الوصل لمطعم الدمام متاز اكون بالخبر اواجه مشكله بتاتا لوصل  انواع الطعام كبيرة فعلا طعم ايطالي حقيقي      ,    مطعم يطل عنى كلم بكل صرح طعم منجيامو  فضل بمد خبر طعم يطل  انم نفس طعم خرى نظف جود اكل سعر تاز قدم واع حوم بقي مقادير طعم  ربم بعض يرا رفع سعر نسب نهم سرو نوع حوم مقادير خدم حضر وجب عرف بلغ دفع يسى رفع وجب  نظف محل تاز وظف غية حرم  ديكور عكس ديكور يطل حقق ناسق درج رقي طعم  وقف سير تاز وصل طعم دمم تاز اكن خبر وجه شكل بتت وصل  واع طعم كبر فعل طعم يطل حقيقي      ,Gad-جاد,102,83,16,0.192771084337349,Positive,هندي
596,واو المكان ايطالي صدقي مو المطاعم الثانيه كلها جبن دسم ثوم افضل مطعم ايطالي السعوديه بدون منافسه المنيو كبيره متنوعه اطباق نباتيه كثيره لي يحبوا الحم  الجو هادئ ينفع طلعات رومنسيه لان الديكور الجو الهدوء يساعد  لقيت عيب صراحه طلبت شوربه باستا حلى جوز الهند الخرافي كبتشينو الحساب طلع اقل ٠ الي اعتبره رخيص مقارنه بجوده الاكل اناقه المكان,وو لم يطل صدق مو طعم ثني كله جبن دسم ثوم فضل طعم يطل سعد بدن منافسه نيو كبر تنع طبق نبت كثر لي يحب لحم  لجو هدئ نفع طلع رومنس لان ديكور لجو هدء سعد  لقت عيب صرح طلب شورب بست حلى جوز هند خرف كبتشينو حسب طلع اقل ٠ الي عبر رخص قرن بجد اكل نقه مكان,Gad-جاد,102,59,7,0.11864406779661,Positive,هندي
597,    مقهى جيد المقهى جيد جيد جداًالي يميزه جلسته الحلوهوالدور طاولات بلياردو وفيه غرفتين كنب وتلفزيون وتقدر تستاجر البلايستيشنالي يعيبه ارتفاع سعره      ,    مقهى جيد المقهى جيد جيد جداالي يمز جلس حلوهوالدور طول ردو وفه غرف كنب لفز قدر تجر بلايستيشنالي يعب رفع عره      ,Gad-جاد,102,21,9,0.428571428571429,Positive,هندي
598,    يستحق الزيارة بصراحة متاز الكافيه والمشروبات متازةالخدمة متازة الجو العام جيد جداايضا يوجد صالة ترفيهية الدور العلوي      ,    يستحق زير بصراحة تاز كفي شرب متازةالخدمة تاز لجو عام جيد جداايضا وجد صلة رفه دور علوي      ,Gad-جاد,102,17,3,0.176470588235294,Positive,هندي
599,    مطبخ شعبي لتجهيز هذا مطعمانه عبارة مطبخ يقوم باعداد السمك والماكولات البحريه الطلب تشتريها المحلات المجاورةلا يوجد مكان لتناول الطعام      ,    مطبخ شعب جهز هذ مطعمانه عبر طبخ يقم عدد سمك اكل بحر طلب شري محل مجاورةلا وجد كان نول طعام      ,Gad-جاد,102,20,-1,-0.05,Negative,هندي
600,      زيت نظيف مطعم عادي ،، افضل شيء عنده القلي وابتعد الفرن موقعه محل السمك واضح جداً لجميع ماعندة سلطات والظاهؤ البارد ماعنده      ,      ز نظف طعم عدي ،، فضل شيء عند قلي بعد فرن وقع محل سمك وضح جدا جمع اعند سلط ظهؤ برد ماعنده      ,Gad-جاد,102,22,7,0.318181818181818,Positive,هندي
601,    جيد مطعم معروف ومتازانصحه يوجد افضل الجبيل الصناعيهعيبه يقارن بالخبر جدهافضل شي بالنسبه الحلويات وخاصة كيكة البركان      ,    جد مطعم عرف ومتازانصحه وجد فضل جبل صناعيهعيبه يقر خبر جدهافضل شي نسب حلي وخص كيك ركان      ,Gad-جاد,102,17,6,0.352941176470588,Positive,هندي
602,    جيد المطعم جيد ونظيف وطاقم استقبال جيد وتنوع المأكولات والأثاث جيد وخصوصية لعائلة ويقدم وجبات صينية وهندية وإيطالية وعربية      ,    جد المطعم جيد نظف طقم قبل جيد تنع أكل اثث جيد خصص لعل قدم وجب صين هند وإيطالية وعربية      ,Gad-جاد,102,19,11,0.578947368421053,Positive,هندي
603,    الحلا الحلا مره لذيذ خآصهكنافه الماكرون والريد فيلفت ماكرونوكيكه الريد فيلفت خفيفه وحلوهانصح بالمطعم لمحبي الحلا وافضل الماكرونالمكان مزدحم الشى بالخميس والجمعهلكن هادئ وجميل باقي الاسبوع      ,    الحل الحل ره لذذ خآصهكنافه اكر ريد يلف ماكرونوكيكه ريد يلف خفف وحلوهانصح طعم محب حلا فضل ماكرونالمك زدحم لشى خمس جمعهل هدئ جمل بقي ع      ,Gad-جاد,102,26,14,0.538461538461538,Positive,هندي
604,    من أفضل المطاعم لمشويات ديكور المطعم عادي يتميزون بالتنوع الأصناف  المشويات خيالية وأكلهم البحري طيب لي يحبون الكبسات انصحهم يفوتون هالمطعمومشكلة المطعم الزحمة يعني لي ناوي يجيه لازم يبكر شويولازم توسع الصدر شوي لأنهم يتأخرون الطلب      ,    من فضل طعم مشو ديكور طعم عدي تمز تنع صنف  شوي خيل أكل بحر طيب لي يحب كبس نصح يفت هالمطعمومشكلة طعم زحم يعن لي نوي يجه لزم بكر شويولازم وسع صدر شوي لأن أخر طلب      ,Gad-جاد,102,36,7,0.194444444444444,Positive,هندي
605,    جندولا تغير يوسفني مطعم جندولا يعتبر ايطالي بالوقت  المطعم تغير جودة الاكل تعيسه الاسعار ازدياد الشوارع زحمه عشان  نظافه المحل ريحته مقزه  الخدمه بطيئه جدا      ,    جندول تغر يوسف طعم جندول عبر يطل وقت  طعم تغر جود اكل تعس سعر زدياد شرع زحم عشن  نظف محل ريح قزه  خدم بطئ جد      ,Gad-جاد,102,25,8,0.32,Positive,هندي
606,    الفطار المعقول عندما تورط طلب الإفطار ذهابك ماكدونالدز الحل ،حيث وجبة غنية وعصير آو فنجانا القهوة بالحليب تحصل وجبة معقولة بسعر معقول يضايقني قلة الانواع المعروضة لديهم الإفطار يجعلك تملها       ,    الفطار عقل عند ورط طلب فطر ذهب ماكدونالدز لحل ،حث وجب غنة عصر او فنج قهة حلب حصل وجب عقل سعر عقل ضيق قلة واع عرض لدي فطر جعل تمل       ,Gad-جاد,102,30,4,0.133333333333333,Positive,هندي
607,    اسواء طعام صحي العالم المذاق سيء والخدمة سيئة والجلسات سيئة والعاب الاطفال قذره لدرجة انك تجد مأكولات عفنة بداخلها  انصح بة اود يأكل اولادي منة      ,    اسواء طعم صحي علم المذاق سيء خدم سيئ جلس سيئ عاب طفل قذر درج انك تجد أكل عفن دخل  نصح بة اود أكل ولد ة      ,Gad-جاد,102,25,-13,-0.52,Negative,هندي
608,    كان افضل قام برفع اسعار المأكولات الضعف لمجرد المطاعم المشهوره فا أصبحى نوعيت الاكل القيمه ضعيفه فبأمكانك الحصول الجوده المأكولات اماكن اخرا وبسعر اقل      ,    كن فضل قام رفع سعر أكل ضعف جرد طعم شهر فا صبحى نوع اكل قيم ضعف فبأمكانك حصل جود أكل اما اخر سعر قل      ,Gad-جاد,102,24,1,0.0416666666666667,Positive,هندي
609,لا بأس يوجد افضل الأكل جيد  القسم العائلي جيد جداً  قسم العزاب جيد  نظافه المكان متازه  الخدمة جيد جداً  الأسعار ٠ ٠ لطلب,لا بأس وجد فضل الأكل جيد  قسم عئل جيد جدا  قسم عزب جيد  نظف كان تزه  خدم جيد جدا  سعر ٠ ٠ طلب,Gad-جاد,102,23,21,0.91304347826087,Positive,هندي
610,    افضل مطعم صيني الخبر السلبيات  قائمه الطعام القديمه افضل ولاسعار كذلك      ,    افضل طعم صين خبر السلبي  قائم طعم قدم فضل سعر كذلك      ,Gad-جاد,102,11,1,0.0909090909090909,Positive,هندي
611,اروع مافي المطعم الجلسات الأكل جيد  الخدمة جيد جداً  الجو والمكان جميل وهادئ والجلسات أحواض الأسماك  الأسعار سابقا مقبولة اصبحت مرتفعة الطلب قيمة مابين ٠ ٠ واعتقد سب ارتفاع الأكل السعر الغاء رسوم الخدمة,رع افي طعم جلس الأكل جيد  خدم جيد جدا  لجو كان جمل هدئ جلس حوض سمك  سعر سبق قبل صبح رفع طلب قيم ماب ٠ ٠ عقد سب رفع اكل سعر غاء رسم خدم,Gad-جاد,102,34,14,0.411764705882353,Positive,هندي
612,    يستحق التجربه جوده الطعام متازه المطعم نظيف يوجد تنوع قائمه الطعام لمحبي البرقروانا شخصيا افضل سموك هاوس برغر  الاسعا رمرتفعه نسبيا      ,    يستحق جرب جود طعم تزه طعم نظف وجد تنع قئم طعم محب رقرو شخص فضل سمك هوس رغر  اسع رمرتفع ي      ,Gad-جاد,102,21,9,0.428571428571429,Positive,هندي
613,    لا أنصح سيء والأكل بارد والسعر مرتفع النظافه جيدة نهائياً مقارنه بفروع خارج السعوديه ايضاً العماله تعاملهم جيد بالشكل المطلوب      ,    لا نصح سيء اكل برد سعر رفع نظف جيد نهئ قرن فرع خرج سعد ايض عمل عمل جيد شكل مطلوب      ,Gad-جاد,102,20,9,0.45,Positive,هندي
614,    قمة الطعم جميل عائلي خدمة راقيه اسعار مناسبة ومتنوعه طول اﻻسبوع ﻻ تنسو السورلين ستيك والفولكانو كيك البيبسي      ,    قم طعم جميل عئل خدم رقي سعر نسب تنع طول ﻻسبوع ﻻ نسو ورل ستك كنو كيك ي      ,Gad-جاد,102,18,3,0.166666666666667,Positive,هندي
615,    اوت باك يقع اوت باك فؤاد سنتر كورنيش الخبر فرع اخر الظهران مول القائمه متنوعه الستيك والبرغر والسمك الخدمه سريعه الاكل جيد الديكورات معقوله انصح يوجد عرض عنده الاحد الخميس الظهر ال  باسعار خاصه      ,    وت باك يقع اوت باك فؤد نتر كورنيش خبر فرع اخر ظهر مول قئم تنع ستك رغر سمك خدم سرع اكل جيد ديكور عقل نصح وجد عرض عند احد خمس ظهر ال  سعر خاصه      ,Gad-جاد,102,34,6,0.176470588235294,Positive,هندي
616,    رائع هالمطعم اكله لذيذ والخدمة متازة والجو رايق      ,    رع هالمطعم اكل لذذ خدم تاز لجو رايق      ,Gad-جاد,102,8,0,0,Neutral,هندي
617,    مطعم الاسماك الذهبية متاز المطعم ناحية الديكور والخدمات المقدمة والاكل البحري بصمه خاصه الاسماك الذهبية  اطباق متنوعة نصيحتي طبق الاستكوزا الطازجة وتقدم الطلب طريقة الشيف       ,    مطعم سمك ذهب متاز طعم نحي ديكور خدم قدم اكل بحر بصم خصه سمك ذهب  طبق تنع نصح طبق كوز طزج قدم طلب طرق شيف       ,Gad-جاد,102,25,-5,-0.2,Negative,هندي
618,    متاز السلام عليكممطعم عائلي وشبابي رائع انصح بشده بتجربتههمبرجر غيرايسكريم باشكال وانواع غريبه ولذيذيةخدمة جميلهمطعم جميل التصميمفيه الخصوصية      ,    متاز السلام عليكممطعم عئل شبب رئع نصح بشد بتجربتههمبرجر غيرايسكريم شكل واع غرب ولذيذيةخدمة جميلهمطعم جمل تصميمفيه خصوصية      ,Gad-جاد,102,18,14,0.777777777777778,Positive,هندي
619,    متاز موقع متازمشويات لذيذهخدمه راقيهاكلات ايطاليه شهيةلا تنسو الاسبكيتيانصح باب التنوع المطاعم الامريكيه      ,    متاز موقع متازمشوي لذيذهخدمه راقيهاكل يطل شهيةلا نسو اسبكيتيانصح باب تنع طعم امريكيه      ,Gad-جاد,102,13,0,0,Neutral,هندي
620,    جيد أحبت المطعم لتميزه البقية بالنكهىة الإيطالية اطباقهاتمنى منهم اضافة الخصوصية لعائلات و زيادة حجم المكانأحبت الموقع         ,    جد أحب طعم تمز بقة كهى يطل اطباقهاتمنى نهم ضفة خصص لعل و زيد حجم مكانأحبت وقع         ,Gad-جاد,102,17,3,0.176470588235294,Positive,هندي
621,    الجبيل بصراحة انا اكلت اكلات ايطاليه مطعم نابولي وعندهم مشاوي حياتي شفت زيها  مستوى النظافه والجو العام راقي وميز  وحضرت ليهم فالعمل بوفيه مفتوح غايه فالروعة  بالتوفيق شاء اله ونتمنى التميز لكل مطاعم الجبيل وتقديم ميز      ,    الجبيل بصراحة انا اكل اكل يطل طعم نبل عند شاي حيت شفت زيه  ستى نظف لجو عام رقي ومز  حضر يهم عمل بوف فتح غيه لرع  وفق شاء اله منى تمز لكل طعم جبل قدم يز      ,Gad-جاد,102,36,4,0.111111111111111,Positive,هندي
622,    مطعم متاز مطعم متاز النواحيالاكل ياستا بحري يتزات مشويات يصراحة مطعم يستحق المدح      ,    مطعم تاز مطعم تاز نواحيالاكل ياستا بحري يتز مشوي يصراحة طعم سحق دح      ,Gad-جاد,102,13,1,0.0769230769230769,Positive,هندي
623,    مطعم رائع وجميل جداً مطعم رائع النواحي الأكل لذيذ وشهي وفريش والمطعم ديكوره حلو ومتاز وجو هادئ إضاءة مناسبة تعطي الراحة والاسترخاء الأكل والخدمة متازة وموظفون مهذبون لديهم لباقة التعامل الزائر لمطعم تكلف بالعكس طريقة الاستقبال تجدها راقية وفيها الحب لاستقبالك كنت شخصاً مهماً جداً جداً فعلا أهنئ ادارة المطعم وصاحب المطعم الخدمة الجميلة تقدموها وتستحق خلالها التقدير وأقل اعطي حق المطعم المجهود الرائع وأقول شكراً جزيلاً      ,    مطعم رئع جمل جدا مطعم رئع نحي اكل لذذ وشه فرش طعم ديكور حلو تاز وجو هدئ ضءة نسب تعط رحة رخء اكل خدم تاز وظف هذب لدي لبق عمل زئر طعم كلف عكس طرق قبل تجد رقي وفي لحب لاستقبالك كنت شخص هما جدا جدا فعل هنئ درة طعم صحب طعم خدم جمل قدمو سحق خلل قدر أقل اعط حق طعم جهد رئع أقل شكر جزيلا      ,Gad-جاد,102,67,48,0.716417910447761,Positive,هندي
624,المطعم جيد الأكل جيد  القسم العائلي هادئ  قسم العزاب هادئ  الأسعار ٠ ٠ لطبق  الخدمة جيده جداً  المشروبات غالية جداً ٠  يستحق التجربة,المطعم جيد الأكل جيد  قسم عئل هدئ  قسم عزب هدئ  سعر ٠ ٠ طبق  خدم جيد جدا  شرب غلي جدا ٠  سحق جربة,Gad-جاد,102,23,13,0.565217391304348,Positive,هندي
625,    اكلات شاميه بالنسبه لاسعار مرتفعه قليل جو المطعم مريح تعدت الفائمه بالاطياق الشاميه الخدمه بطيئه لاسف تروق لي      ,    كل شمي بالنسبه سعر رفع قلل جو طعم ريح تعد فئم طيق شمي خدم بطئ لسف ترق ي      ,Gad-جاد,102,18,4,0.222222222222222,Positive,هندي
626,    متاز السلام عليكممطعم هندي الطراز ديكور هندي متاز خدمة متازه اكل غاية الروعهيكون شديد الازدحام العطلويكون الانتظار نص ساعه      ,    متاز السلام عليكممطعم هند طرز ديكور هند تاز خدم تزه اكل غية روعهيك شدد زدحام عطلويك نظر نص عه      ,Gad-جاد,102,19,0,0,Neutral,هندي
627,    أكل هندي مكان راقي مطعم جميل فخم الأكل لذيذ الأسعار مرتفعه ألذ الأطباق عندهم الماسلا البرياني دجاج طبق ماسلا ناسيه ايش أسمه المطعم زحمه الأسبوع أنصح وقت الزياره غداء      ,    أكل هند كان رقي مطعم جمل فخم اكل لذذ سعر رفع الذ طبق عند اسل برا دجج طبق اسل نسي ايش اسم طعم زحم سبع نصح وقت زير غداء      ,Gad-جاد,102,29,9,0.310344827586207,Positive,هندي
628,    أكل هندي بحت أطباقهم حلوة خصوصا البرياني المسالا يعيبهم الفلفل يكبونه كب بالأكل تكره عمرك كثر الفلفل  مفروض اختيار الشخص       ,    أكل هند بحت أطباق حلة خصص برا سلا يعب لفل كبو كب اكل تكر عمر كثر لفل  فرض خير شخص       ,Gad-جاد,102,20,-1,-0.05,Negative,هندي
629,    المطعم جيد نسبة الفلفل العالية  جربت المطعم بالواجهة بالخبر أماكن الجلوس رائعة والسعر يميل الارتفاع والخدمه جيدة يعيب عليهم اضافة الفلفل بنسبة عالية طلبنا الإضافة        ,    المطعم جيد نسب لفل علي  جرب طعم وجه خبر اما جلس رئع سعر يمل رفع خدم جيد يعب علي ضفة لفل نسب علي طلب ضفة        ,Gad-جاد,102,25,22,0.88,Positive,هندي
630,    عادي الاسعار غالية مقارنة بحجم المطعم الخدمة المقدمةالاكل نوعا جيد كمية الوجبة كافية لشخص بالغمناسب لمراهقين اكثر      ,    عد الاسعار غلي قرن حجم طعم خدم مقدمةالاكل نوع جيد كمة وجب كفي شخص غمناسب رهق كثر      ,Gad-جاد,102,17,2,0.117647058823529,Positive,هندي
631,    لابأس الأكل عادي  المطاعم داخل المجمعات والأسواق طعمها غريب طعم اجد المطعم الخيارات المفضلة وافضل الوجبات السريعة      ,    لابأس الأكل عدي  طعم دخل جمع سوق طعم غرب طعم اجد طعم خير فضل فضل وجب ريعة      ,Gad-جاد,102,17,8,0.470588235294118,Positive,هندي
632,    جودة الطعام سيئة كل سلسلة مطاعم كوبر شندي ديكور راقي وغرف واسعة توفر جلسات مفتوحةلكن جودة الطعام تقاس بفرع الخبر إغراق الأكل بالبهارات يفقد الأكل مذاقهوالعيب الآخر كمية الطعام قليلةالأسعار مقبولةطاقم العمل متساعد وخدوم كبير      ,    جد طعم سيئ كل لسل طعم كوبر شند ديكور رقي غرف وسع وفر جلس مفتوحةل جود طعم تقس فرع خبر غرق اكل بهر فقد اكل مذاقهوالعيب اخر كمة طعم قليلةالأسعار مقبولةطاقم عمل ساعد خدم كبير      ,Gad-جاد,102,35,-4,-0.114285714285714,Negative,هندي
633,    لا انصح الخدمه ضعيفه المستوى الالغالي يوجد تنوع الاطباق السعر لايناسب الخدمه موقعه مجمع الظهران مول      ,    لا نصح الخدمه ضعف ستى لغل وجد تنع طبق سعر نسب خدم وقع جمع ظهر ول      ,Gad-جاد,102,16,2,0.125,Positive,هندي
634,    مطعم بحري يقع مطعم اليخت الخبرشارع الامير فيصلالقائمه متوعه لاكلات البحريه مستوى الطعام جيد الجو العام لمطعم رايق توجد حواجز لعوائل الخدمه سريعه      ,    مطعم بحر يقع طعم يخت خبرشارع امر فيصلالقائمه توع لكل بحر ستى طعم جيد الجو عام طعم ريق وجد حجز عئل الخدم سريعه      ,Gad-جاد,102,23,3,0.130434782608696,Positive,هندي
635,    المشوي عنده زباله شفته مطعم نظيف قلت اكيد المشوي عنده شغل عدل طلبت مشكل مشوي واله بالموت كنت اكله والبلاء مهب رخيص يعني تدخله انتي والي معك عشاكم الثلاث ميه      ,    المشو عند زبل شف طعم نظف قلت اكد شوي عند شغل عدل طلب شكل شوي وله موت كنت اكل بلء مهب رخص يعن دخل انت ولي معك عشا ثلث يه      ,Gad-جاد,102,30,4,0.133333333333333,Positive,هندي
636,نظيف وبدون دخان طلباتهم جيده والمكان بدون دخان، العمال حبيبن، يمديكم تشوفوا المباريات يزدحم وقتها، عندهم غرفه تحجزوها ٠ وتشمل الطلبات بسعر ٠ ريال,نظيف وبد دخن طلب جيد كان بدن دخن، عمل حبيبن، يمد تشف بري زدحم قتها، عند غرف حجزو ٠ شمل طلب سعر ٠ ريال,Gad-جاد,102,24,3,0.125,Positive,هندي
637,    كافي هادئ كافي هادئ حي السلمانية ويقع شارع الرياض ميز بأنواع المشروبات والعاملين ودودين وهم الجنسية البنجلاديشية ولكنهم طيبون وطعامهم لذيذ أيضاأنصحكم بزيارته وطلب       ,    كف هدئ كاف هدئ حي سلم يقع شرع ريض ميز أنواع شرب عمل ودد وهم جنس بنجلاديشية ولك طيب طعم لذذ ايضاأنصح زير وطلب       ,Gad-جاد,102,24,9,0.375,Positive,هندي
638,    انصح لعشاق الباستا المطعم قريب مواجه لفندق الانتركونتينتالاكلات ايطالية البيتزا والباستا يميزه تفوتك باستا الاجبان الثلاثة البيتزا عادية جدًاديكوره رائع وجو هادي وخصوصية عالية وخدمة جيدة  يعيبه توفر مساحة تعدى طاولاته ال       ,    انصح عشق بست المطعم قرب وجه ندق انتركونتينتالاكل يطل يتز بست يمز تفت بست اجب ثلث يتز عدي جداديكوره رئع وجو هدي خصص علي خدم جيد  يعب وفر ساح عدى طول ال       ,Gad-جاد,102,32,12,0.375,Positive,هندي
639,    أفضل بيتزا عالحطب الأحساء يقدم مطعم أوريجانو بيتزا مصنوعة يدويا داخل فرن وبنكهة الحطب يعطيك مذاقا خاصا  ولديهم إنواع كثيرة وأفضل بيتزا تذوقتها  بينوتا بيتزاوكمالديهم شوربات جميلة ومكرونات ميزة أيضا      ,    أفضل يتز عالحطب حسء يقدم طعم اوريجانو يتز صنع يدو دخل فرن وبن حطب يعط ذقا خصا  ولد واع كثر أفضل يتز تذق  بينوتا بيتزاوكمالدي شورب جمل كرو يزة ض      ,Gad-جاد,102,30,7,0.233333333333333,Positive,هندي
640,    جرب الحم المندي التغير ينفع وقت لآخر جرب الدجاج المندي وﻻ الحم المندي الحنيذ الكنافه متازة ﻻ تفوتكم ﻻ تاكل المطعم لضيق المساحة      ,    جرب لحم ندي التغير نفع وقت آخر جرب دجج ندي وﻻ لحم ندي حنذ كنف تاز ﻻ تفت ﻻ تكل طعم لضق مساحة      ,Gad-جاد,102,23,0,0,Neutral,هندي
641,    الخدمة المتميزة الجو العام  جيد جداالتكيف  متاز  جلسة مكيف سبلت خاص  جودة الطهي  جيدة جداالسرعة  جيدة جداالنظافة  جيدةقوائم الاكل  توجد مأكولات بحرية       ,    الخدم تمز الجو عام  جيد جداالتكيف  تاز  جلس كيف سبل خاص  جود طهي  جيد جداالسرعة  جيد جداالنظافة  جيدةقوائم اكل  وجد أكل بحر       ,Gad-جاد,102,22,10,0.454545454545455,Positive,هندي
642,غير جيد ويوجد افضل منة الدجاج بجميع أنواعه جيد والأرز جيد  الحم جيد تأكد طلبك مكن ينصب لأنك تدفع  ٠ لنفر لحم تجد وصلة شرقة القفص الصدري لتيس يوجد القليل الحم ماحصل معي وبطلت المطعم لانهم لايراعون الأمانة تقسيم الحم,غر جيد وجد فضل منة الدجاج جمع واع جيد ارز جيد  لحم جيد أكد طلب مكن نصب لأن دفع  ٠ نفر لحم تجد وصل شرق قفص صدر لتس وجد قلل لحم احصل معي بطل طعم لان يرع منة قسم حم,Gad-جاد,102,40,17,0.425,Positive,هندي
